epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.844,2.07501,2.50178,1.93923,0.41662,0.41561,0.38753,0.14078,2.19423,2.3543,2.12243,0.000665521,0.000665521,0.000665521
2,495.036,2.09173,2.07674,2.00372,0.33585,0.36804,0.25428,0.078,2.2874,3.28746,2.10946,0.00130581,0.00130581,0.00130581
3,736.261,2.07814,2.01636,1.98161,0.49815,0.46634,0.45942,0.16801,2.18701,2.02938,2.07731,0.0019197,0.0019197,0.0019197
4,973.964,2.05729,1.96275,1.93985,0.50314,0.47707,0.48315,0.18154,2.12869,1.96143,2.0084,0.0018812,0.0018812,0.0018812
5,1214.56,2.03251,1.90445,1.91427,0.50447,0.48195,0.4803,0.16987,2.15389,2.02745,2.00166,0.0018416,0.0018416,0.0018416
6,1452.72,2.02075,1.86373,1.91661,0.5438,0.51317,0.52691,0.18871,2.11736,1.85737,2.01573,0.001802,0.001802,0.001802
7,1692.76,1.98692,1.83236,1.89203,0.50551,0.53366,0.52789,0.19884,2.1207,1.77083,2.02934,0.0017624,0.0017624,0.0017624
8,1930.39,1.97839,1.80119,1.89754,0.57612,0.49659,0.52489,0.20049,2.12571,1.79319,1.98739,0.0017228,0.0017228,0.0017228
9,2171.72,1.96815,1.7689,1.86849,0.58042,0.53366,0.5579,0.21404,2.08693,1.75384,1.96808,0.0016832,0.0016832,0.0016832
10,2412.5,1.96009,1.73646,1.86479,0.60464,0.53561,0.55581,0.21467,2.12369,1.70818,1.96249,0.0016436,0.0016436,0.0016436
11,2655.96,1.95806,1.72904,1.87613,0.59386,0.48488,0.52357,0.20978,2.1401,1.73736,2.02767,0.001604,0.001604,0.001604
12,2898.07,1.94232,1.72168,1.84981,0.60064,0.53073,0.57123,0.21866,2.07559,1.74391,1.97076,0.0015644,0.0015644,0.0015644
13,3202.07,1.92743,1.69444,1.83828,0.63992,0.53575,0.59836,0.22657,2.10722,1.63816,1.97969,0.0015248,0.0015248,0.0015248
14,3439.96,1.91997,1.66873,1.82805,0.64117,0.54341,0.58266,0.23153,2.09818,1.66187,1.98389,0.0014852,0.0014852,0.0014852
15,3686.44,1.91721,1.6603,1.83459,0.65801,0.58634,0.61537,0.23249,2.12456,1.65986,2.00869,0.0014456,0.0014456,0.0014456
16,3930.85,1.90794,1.62696,1.82016,0.65242,0.57756,0.61697,0.23808,2.07417,1.62898,1.9464,0.001406,0.001406,0.001406
17,4176.55,1.89666,1.62862,1.8251,0.63716,0.53366,0.58747,0.23398,2.10886,1.59108,2.02581,0.0013664,0.0013664,0.0013664
18,4421.07,1.88926,1.60763,1.8163,0.64388,0.57506,0.60593,0.23333,2.1028,1.59007,1.97802,0.0013268,0.0013268,0.0013268
19,4667.38,1.87515,1.58914,1.80888,0.64033,0.58244,0.61403,0.2415,2.08497,1.58785,1.95687,0.0012872,0.0012872,0.0012872
20,4911.32,1.87752,1.58772,1.80715,0.6781,0.53073,0.60608,0.24146,2.08562,1.58235,1.99544,0.0012476,0.0012476,0.0012476
21,5155.05,1.86529,1.55604,1.79087,0.65127,0.58146,0.61521,0.2397,2.09126,1.58396,1.9581,0.001208,0.001208,0.001208
22,5395.84,1.85472,1.55314,1.7962,0.69996,0.57756,0.62743,0.24564,2.07275,1.57346,1.98232,0.0011684,0.0011684,0.0011684
23,5638.68,1.84648,1.54157,1.7956,0.67999,0.55415,0.62359,0.24324,2.09122,1.57031,2.00875,0.0011288,0.0011288,0.0011288
24,5879.38,1.84459,1.5297,1.78556,0.68809,0.54451,0.60737,0.24592,2.10286,1.5492,1.99093,0.0010892,0.0010892,0.0010892
25,6123.03,1.8285,1.5094,1.76839,0.67696,0.56976,0.61076,0.24185,2.08516,1.53713,1.9704,0.0010496,0.0010496,0.0010496
26,6363.25,1.82767,1.50205,1.77204,0.66622,0.58244,0.61886,0.24152,2.10943,1.54483,2.00268,0.00101,0.00101,0.00101
27,6608.18,1.81113,1.48922,1.76036,0.69494,0.58894,0.63673,0.24997,2.1258,1.53412,2.003,0.0009704,0.0009704,0.0009704
28,6848.52,1.80648,1.48466,1.75224,0.69958,0.58841,0.64061,0.2481,2.10554,1.49581,1.97812,0.0009308,0.0009308,0.0009308
29,7091.16,1.80895,1.46198,1.75272,0.69439,0.58732,0.62546,0.24176,2.14038,1.5001,2.01823,0.0008912,0.0008912,0.0008912
30,7331.39,1.78834,1.43859,1.7394,0.68368,0.5639,0.61489,0.24447,2.12109,1.49354,2.02676,0.0008516,0.0008516,0.0008516
31,7575.05,1.77993,1.42899,1.74245,0.70594,0.59254,0.62967,0.24462,2.12457,1.4896,2.01438,0.000812,0.000812,0.000812
32,7815.16,1.77891,1.41121,1.74037,0.66327,0.59902,0.62861,0.24342,2.12377,1.49568,2.02721,0.0007724,0.0007724,0.0007724
33,8057.68,1.77255,1.40098,1.73633,0.66463,0.57424,0.62404,0.2475,2.1226,1.50245,2.01159,0.0007328,0.0007328,0.0007328
34,8298.06,1.76319,1.38461,1.71872,0.68195,0.57951,0.62034,0.24376,2.13311,1.48779,2.01503,0.0006932,0.0006932,0.0006932
35,8540.56,1.74484,1.37721,1.71171,0.68176,0.59805,0.62691,0.24241,2.14032,1.49705,2.04328,0.0006536,0.0006536,0.0006536
36,8780.37,1.73809,1.36065,1.70259,0.67772,0.57561,0.61649,0.23791,2.14625,1.48812,2.02232,0.000614,0.000614,0.000614
37,9022.74,1.72278,1.34247,1.69514,0.68652,0.58341,0.62562,0.2437,2.14145,1.48233,2.01262,0.0005744,0.0005744,0.0005744
38,9262.69,1.73017,1.33693,1.69737,0.67339,0.57366,0.61395,0.2398,2.15408,1.50066,2.03209,0.0005348,0.0005348,0.0005348
39,9504.93,1.71789,1.31286,1.68575,0.68195,0.58341,0.61994,0.23955,2.16912,1.48323,2.02834,0.0004952,0.0004952,0.0004952
40,9745.24,1.7129,1.29413,1.68424,0.70082,0.6,0.62911,0.24691,2.16163,1.48034,2.04321,0.0004556,0.0004556,0.0004556
41,10012.1,1.73285,1.16493,1.72677,0.67143,0.59805,0.62925,0.24432,2.17029,1.48971,2.05226,0.000416,0.000416,0.000416
42,10251.3,1.70183,1.11957,1.71673,0.70731,0.58537,0.6269,0.23988,2.19968,1.48655,2.10327,0.0003764,0.0003764,0.0003764
43,10492.7,1.69016,1.10123,1.71027,0.68309,0.59302,0.62629,0.23943,2.21449,1.47758,2.11518,0.0003368,0.0003368,0.0003368
44,10731.6,1.67863,1.07515,1.70151,0.6805,0.59512,0.62654,0.23861,2.22554,1.47573,2.13155,0.0002972,0.0002972,0.0002972
